PublicationTitle,DatabaseIDs,PublicationDate,PublicationDOI,StudyType,SegmentationUse,SourceData,TrainingData,LabelData,Code,Modality,FileFormatsSource,FileFormatsTraining,FileFormatsLabel,DataOrigin,SegmentationType,SegmentationMethod,BiologicalScale,Notes
Automatic identification of crossovers in cryo-EM images of murine amyloid protein A fibrils with machine learning,N/A,2020,10.1111/jmi.12858,Software,Proof-of-concept,No,No,No,No,Cryo-EM,N/A,N/A,N/A,other studies from group,Semantic,Automated,Subcellular,Data on EMDB but you have to go to another cited paper to find this out. Only the Cryo-EM structure from SPA was deposited.
Presynaptic Mitochondria Volume and Abundance Increase during Development of a High-Fidelity Synapse,N/A,2019,10.1523/JNEUROSCI.0363-19.2019,Biological,Quantitative morphometry,Mendeley,N/A,Mendeley,Mendeley,SBF SEM,tiff,N/A,"obj, blender, am",this study,Instance,Semi-automated,Subcellular,
Automatic Segmentation of Pathological Glomerular Basement Membrane in Transmission Electron Microscopy Images with Random Forest Stacks,N/A,2019,10.1155/2019/1684218,Software,Proof-of-concept,No,No,No,No,TEM,N/A,N/A,N/A,this study,Semantic,Semi-automated,Cellular,Data available on request
Learning cellular morphology with neural networks,N/A,2019,10.1038/s41467-019-10836-3,Software,Proof-of-concept,No,No,No,Github,SBF SEM,N/A,N/A,N/A,other studies from group,Instance,Semi-automated,Subcellular,Data available on request
DSeg: A Dynamic Image Segmentation Program to Extract Backbone Patterns for Filamentous Bacteria and Hyphae Structures,N/A,2019,10.1017/S1431927619000308,Software,Quantitative morphometry,No,N/A,No,No,TEM,N/A,N/A,N/A,this study,Instance,Automated,Cellular,"Code is supposed to be on sourceforge but can't easily find a link. However it's there in the supplementary data, though you have to download the supplementary data to find this out."
Structural design of the minute clypeasteroid echinoid Echinocyamus pusillus,N/A,2018,10.1098/rsos.171323,Biological,Quantitative morphometry,Dryad,N/A,No,N/A,"X-ray microCT, SEM",zipped,N/A,N/A,this study,Semantic,Manual,Tissue,Data deposited in Dryad
Neuron Segmentation With High-Level Biological Priors,N/A,2018,10.1109/TMI.2017.2712360,Software,Proof-of-concept,References other paper,No,No,"Might be part of Ilastik, but unsure.","FIB SEM, ssTEM",N/A,N/A,N/A,other studies from group,Instance,Automated,Tissue (connectomics),Unclear where first dataset comes from. Second dataset is from Open Connectome but you have to go to the cited paper and read more closely to find out
Automatic Mitochondria Segmentation for EM Data Using a 3D Supervised Convolutional Network,N/A,2018,10.3389/fnana.2018.00092,Software,Proof-of-concept,Institutional - working; Institutional - defunct,No,Institutional - working; Institutional - defunct,No,"ATUM SEM, FIB SEM",tiff,N/A,tiff,"this study, other studies from different group publicly available",Instance,Automated,Subcellular,"Institutional EPFL repository, you have to manually figure out which one of the datasets was used in this paper as it links to their general data repository for the group. One of the URLs was defunct"
CDeep3M-Plug-and-Play cloud-based deep learning for image segmentation,N/A,2018,10.1038/s41592-018-0106-z,Software,Proof-of-concept,"Some (Cell Image Library, Github, own website - working)",Some (Github),No,Github,Any,png,png,N/A,this study,Any,Automated ,Any,Sample data on Github and Cell Image Library. This is a platform for running deep learning segmentation. Many example datasets at their website https://cdeep3m.crbs.ucsd.edu/home/pre_trained_models for pre-trained models
Fully-Automatic Synapse Prediction and Validation on a Large Data Set,N/A,2018,10.3389/fncir.2018.00087,Software,Proof-of-concept,Institutional - working (FlyEM),No,No,Github,FIB SEM,Any - accessed with API,N/A,N/A,public data,Instance,Automated,Tissue (connectomics),Janelia FlyEM
Three-dimensional visualization and a deep-learning model reveal complex fungal parasite networks in behaviorally manipulated ants,N/A,2017,10.1073/pnas.1711673114,Biological,Quantitative morphometry,Institutional - working,No,No,"Maybe, references another paper for method",SBF SEM,dm4,N/A,N/A,this study,Semantic,Semi-automated,Tissue,
DeepEM3D: approaching human-level performance on 3D anisotropic EM image segmentation,N/A,2017,10.1093/bioinformatics/btx188,Software,Proof-of-concept,Requires separate search (SNEMI3D),Requires separate search (SNEMI3D),DIY,Github,ssSEM,tiff,tiff,N/A,public challenge,Instance,Automated,Tissue (connectomics),SNEMI3D URL does not work anymore (brainiac2.mit.edu/SNEMI3D)
Quantifying Mesoscale Neuroanatomy Using X-Ray Microtomography,N/A,2017,10.1523/ENEURO.0195-17.2017,Software,Quantitative morphometry,Github,Github,DIY,Github,Synchrotron X-ray microCT,tiff,nrrd,N/A,this study,Semantic,Automated,Tissue (connectomics),"Calculated quality metrics of their annotations, including interrater reliability"
A validated active contour method driven by parabolic arc model for detection and segmentation of mitochondria,EMD-6471,2016,10.1016/j.jsb.2016.03.002,Software,Proof-of-concept,Requires separate search (Cell-centred database),N/A,No,No,Electron tomography,N/A,N/A,N/A,public data,Semantic,Automated,Subcellular,
Deep models for brain EM image segmentation: novel insights and improved performance,N/A,2016,10.1093/bioinformatics/btw165,Software,Proof-of-concept,Requires separate search (ISBI2012),No,No,Github,ssTEM,zipped,N/A,N/A,public challenge,Instance,Automated,Tissue (connectomics),
Hierarchical detection and analysis of macromolecular complexes in cryo-electron tomograms using Pyto software,N/A,2016,10.1016/j.jsb.2016.10.004,Software,Quantitative morphometry,No,N/A,No,No,Cryo-ET,N/A,N/A,N/A,this study,Semantic,Automated,Subcellular,"""Pyto is completely open-source and it is available on demand."""
3-dimensional electron microscopic imaging of the zebrafish olfactory bulb and dense reconstruction of neurons,N/A,2016,10.1038/sdata.2016.100,Dataset,Proof-of-concept,"Neurodata, Zenodo",N/A,"Neurodata, Zenodo",Github,SBF SEM,"tiff, Any - accessed with API",N/A,nmx,this study,Instance,N/A,Tissue (connectomics),Neurodata/pyknossos paper
A context-aware delayed agglomeration framework for electron microscopy segmentation,N/A,2015,10.1371/journal.pone.0125825,Software,Proof-of-concept,Institutional - working (FlyEM),No,DIY,Github,"FIB SEM, ssTEM",tiff,N/A,N/A,other studies from group,Instance,Semi-automated,Tissue (connectomics),
Automated tracing of myelinated axons and detection of the nodes of Ranvier in serial images of peripheral nerves,N/A,2015,10.1111/jmi.12266,Software,Quantitative morphometry,Institutional - defunct,Institutional - defunct,Institutional - defunct,Institutional - defunct,SBF SEM ,N/A,N/A,N/A,other studies from group,Instance,Automated,Tissue (connectomics),Data doesn't seem to be on the institutional repository anymore
SegEM: Efficient Image Analysis for High-Resolution Connectomics,N/A,2015,10.1016/j.neuron.2015.09.003,Software,Proof-of-concept,No,No,No,Supplementary Info,SBF SEM,N/A,N/A,N/A,other studies from group,Instance,Semi-automated,Tissue (connectomics),Used unpublished data and also referenced data from another paper. Code attached to paper with .zip file. Provides screenshots of training data 3D rendering as a pdf in supplementary
A metameric origin for the annelid pygidium?,N/A,2015,10.1186/s12862-015-0299-z,Biological,Qualitative visualisation,No,N/A,No,N/A,"TEM, SEM",N/A,N/A,N/A,this study,Semantic,Manual,Tissue,"Says ""reconstruction"" which I think means segmentation here. But also uses ""segmentation"" as a biological term"
Head morphology of Tricholepidion gertschi indicates monophyletic Zygentoma,N/A,2014,10.1186/1742-9994-11-16,Biological,Qualitative visualisation,No,N/A,Supplementary Info,N/A,"Synchrotron X-ray microCT, SEM",N/A,N/A,blend,this study,Semantic,Manual,Tissue,
Segmentation of neuronal structures using SARSA (λ)-based boundary amendment with reinforced gradient-descent curve shape fitting,N/A,2014,10.1371/journal.pone.0090873,Software,Proof-of-concept,Requires separate search (ISBI2012),Requires separate search (ISBI2012),No,No,ssTEM,zipped,zipped,N/A,public challenge,Semantic,Automated,Tissue (connectomics),Available from ImageJ downloads but you have to search for it separately as the URL doesn't work anymore.
A workflow for the automatic segmentation of organelles in electron microscopy image stacks,N/A,2014,10.3389/fnana.2014.00126,Software,Proof-of-concept,No,Institutional - working,No,Institutional - working,SBF SEM,N/A,zipped,N/A,this study,Semantic,Automated,Tissue (connectomics),Institutional repository which still works
A modular hierarchical approach to 3D electron microscopy image segmentation,N/A,2014,10.1016/j.jneumeth.2014.01.022,Software,Proof-of-concept,"Requires separate search (ISBI2012, SNEMI3D)","Requires separate search (ISBI2012, SNEMI3D)",No,No,ssTEM,"zipped, tiff","zipped, tiff",N/A,public challenge,Instance,Semi-automated,Tissue (connectomics),Have to look pretty hard to find the data
Three-dimensional reconstruction of skeletal muscle extracellular matrix ultrastructure,N/A,2014,10.1017/S1431927614013300,Method,Proof-of-concept,No,N/A,No,N/A,SBF SEM,N/A,N/A,N/A,this study,Semantic,"Manual, semi-automated",Subcellular,"Videos going through the slices were available, not sure these can be used as masks without downloading"
Simultaneous analysis of shape and internal structure of a curved Hibiscus cannabinus pulvinus: X-ray microtomography and semi-automated quantification,N/A,2024,10.1007/s10265-023-01498-w,Biological,Quantitative morphometry,Zenodo,N/A,No,No,MicroCT,hdf5,N/A,N/A,this study,Semantic,Automated,Organ (plant),
Automatic 3D cell segmentation of fruit parenchyma tissue from X-ray micro CT images using deep learning,N/A,2024,10.1186/s13007-024-01137-y,Software,Benchmarking,No,No,No,Github,MicroCT,N/A,N/A,N/A,this study,Semantic,Automated,Organ (plant),
A fully automated micro‑CT deep learning approach for precision preclinical investigation of lung fibrosis progression and response to therapy,N/A,2023,10.1186/s12931-023-02432-3,Biological,Quantitative morphometry,No,No,No,No,MicroCT,N/A,N/A,N/A,this study,Semantic,Automated,Organ (animal),
3D segmentation of plant root systems using spatial pyramid pooling and locally adaptive field-of-view inference,N/A,2023,10.3389/fpls.2023.1120189,Software,Proof-of-concept,No,No,No,No,MicroCT,N/A,N/A,N/A,this study,Semantic,Automated,Organ (plant),
Attaching organic fibers to mineral: The case of the avian eggshell,N/A,2023,10.1016/j.isci.2023.108425,Biological,Quantitative morphometry,No,No,No,N/A,"MicroCT, FIBSEM, Electron tomography",N/A,N/A,N/A,this study,Semantic,Semi-automated,Tissue,
"High-throughput segmentation, data visualization, and analysis of sea star skeletal networks",N/A,2023,10.1016/j.jsb.2023.107955,Biological,Quantitative morphometry,No,N/A,No,N/A,MicroCT,N/A,N/A,N/A,this study,Semantic,Semi-automated,Organism (sea stars),
Enhanced contrast synchrotron X-ray microtomography for describing skeleton-associated soft tissue defects in zebrafish mutants,N/A,2023,10.3389/fendo.2023.1108916,Method,Proof-of-concept,No,N/A,No,N/A,MicroCT,N/A,N/A,N/A,this study,Semantic,Manual,Tissue,
Application-specific approaches to MicroCT for evaluation of mouse models of pulmonary disease,N/A,2023,10.1371/journal.pone.0281452,Method,Quantitative morphometry,No,N/A,No,N/A,MicroCT,N/A,N/A,N/A,this study,Semantic,Semi-automated,Tissue,
Automated quantification of vacuole fusion and lipophagy in Saccharomyces cerevisiae from fluorescence and cryo-soft X-ray microscopy data using deep learning,N/A,2023,10.1080/15548627.2023.2270378,Method,Quantitative morphometry,Zenodo,Zenodo,No,Github,MicroCT,tiff,tiff,N/A,this study,Instance,Automated,Subcellular,
3D-imaging and quantitative assessment for size-related penetration of HfO(2) nanoparticles in breast cancer tumor by synchrotron radiation microcomputed tomography,N/A,2023,10.1016/j.aca.2023.341352,Biological,Quantitative morphometry,No,N/A,No,N/A,MicroCT,N/A,N/A,N/A,this study,Semantic,Automated,Tissue,
Application of Machine Learning for Segmentation of the Pulmonary Acinus Imaged by Synchrotron X-Ray Tomography,N/A,2023,10.1089/jamp.2022.0051,Software,Proof-of-concept,No,No,No,No,MicroCT,N/A,N/A,N/A,other studies from group,Semantic,Automated,Tissue,
3D surface reconstruction of cellular cryo-soft X-ray microscopy tomograms using semisupervised deep learning,EMPIAR-11392,2023,10.1073/pnas.2209938120,Software,Quantitative morphometry,EMPIAR,Institutional - working,No,Github,MicroCT,mrc,npz,N/A,this study,Instance,Automated,Subcellular,
Segmentation of trabecular bone microdamage in Xray microCT images using a two-step deep learning method,N/A,2023,10.1016/j.jmbbm.2022.105540,Software,Proof-of-concept,No,No,No,No,MicroCT,N/A,N/A,N/A,this study,Semantic,Automated,Tissue,
Three-dimensional analysis of human pancreatic cancer specimens by phase-contrast based X-ray tomography - the next dimension of diagnosis,N/A,2023,10.1186/s40644-023-00559-6,Method,Qualitative visualisation,No,No,No,N/A,MicroCT,N/A,N/A,N/A,this study,Semantic,Semi-automated,Tissue,
Nondestructive 3D phenotyping method of passion fruit based on X-ray micro-computed tomography and deep learning,N/A,2023,10.3389/fpls.2022.1087904,Method,Quantitative morphometry,No,No,No,No,MicroCT,N/A,N/A,N/A,this study,Semantic,Automated,Organ (fruit),
Correlative study of liquid in human bone by 3D neutron microscopy and lab-based X-ray μCT,N/A,2023,10.1016/j.bone.2023.116837,Method,Proof-of-concept,Zenodo,N/A,No,N/A,"MicroCT, Neutron imaging",tiff,N/A,N/A,this study,Semantic,Automated,Tissue,
"Contour, a semi-automated segmentation and quantitation tool for cryo-soft-X-ray tomography",EMPIAR-10972,2022,10.1017/S2633903X22000046,Software,Proof-of-concept,"EMPIAR, Institutional - working",N/A,Github,Github,MicroCT,zipped,N/A,tiff,this study,Semantic,Automated,Subcellular,
Microvascular imaging of the unstained human superior colliculus using synchrotron-radiation phase-contrast microtomography,N/A,2022,10.1038/s41598-022-13282-2,Method,Quantitative morphometry,No,N/A,No,N/A,MicroCT,N/A,N/A,N/A,this study,Semantic,Manual,Tissue,
A morphometric analysis of the osteocyte canaliculus using applied automatic semantic segmentation by machine learning,N/A,2022,10.1007/s00774-022-01321-x,Method,Proof-of-concept,No,No,No,N/A,FIB SEM,N/A,N/A,N/A,this study,Semantic,Automated,Tissue (bone),
Auto-segmentation and time-dependent systematic analysis of mesoscale cellular structure in β-cells during insulin secretion,N/A,2022,10.1371/journal.pone.0265567,Software,Quantitative morphometry,No,No,No,Github,MicroCT,N/A,N/A,N/A,other studies from group,Instance,Automated,Subcellular,
SuRVoS 2: Accelerating Annotation and Segmentation for Large Volumetric Bioimage Workflows Across Modalities and Scales,"EMPIAR-10562, EMPIAR-10416, S-BIAD19",2022,10.3389/fcell.2022.842342,Software,Proof-of-concept,"EMPIAR, Bioimage Archive",No,No,Github,MicroCT,"tiff, dv, mrc",N/A,N/A,other studies from group,Instance,Semi-automated,Any,
Analysis of type I osteoporosis animal models using synchrotron radiation,N/A,2022,10.1002/jemt.23911,Biological,Quantitative morphometry,No,N/A,No,N/A,MicroCT,N/A,N/A,N/A,this study,Semantic,Semi-automated,Tissue (bone),
Examining atherosclerotic lesions in three dimensions at the nanometer scale with cryo-FIB-SEM,N/A,2022,10.1073/pnas.2205475119,Method,Proof-of-concept,No,N/A,No,N/A,Cryo-FIB-SEM,N/A,N/A,N/A,this study,Semantic,Semi-automated,Tissue,
Otosclerosis under microCT: New insights into the disease and its anatomy,N/A,2022,10.3389/fradi.2022.965474,Method,Proof-of-concept,No,N/A,No,N/A,MicroCT,N/A,N/A,N/A,this study,Semantic,Semi-automated,Tissue,
A workflow for segmenting soil and plant X-ray computed tomography images with deep learning in Google's Colaboratory,N/A,2022,10.3389/fpls.2022.893140,Software,Proof-of-concept,Institutional - working,Institutional - working,Institutional - working,Github,MicroCT,zipped,zipped,zipped,this study,Semantic,Semi-automated,Tissue (plant),
Performance evaluation of segmentation methods for assessing the lens of the frog Thoropa miliaris from synchrotron-based phase-contrast micro-CT images,N/A,2022,10.1016/j.ejmp.2021.12.013,Method,Benchmarking,No,No,No,No,MicroCT,N/A,N/A,N/A,this study,Semantic,Semi-automated,Organ (animal),
High-resolution micro-CT for 3D infarct characterization and segmentation in mice stroke models,N/A,2022,10.1038/s41598-022-21494-9,Method,Proof-of-concept,No,N/A,No,N/A,MicroCT,N/A,N/A,N/A,this study,Semantic,Semi-automated,Tissue,
Cryo soft X-ray tomography to explore Escherichia coli nucleoid remodeling by Hfq master regulator,N/A,2022,10.1016/j.jsb.2022.107912,Biological,Quantitative morphometry,No,N/A,No,N/A,MicroCT,N/A,N/A,N/A,this study,Semantic,Semi-automated,Subcellular,
How Do Roots Interact with Layered Soils?,N/A,2022,10.3390/jimaging8010005,Biological,Quantitative morphometry,No,No,No,No,MicroCT,N/A,N/A,N/A,this study,Semantic,Automated,Tissue (plant),
Application of X-ray computed tomography to analyze the structure of sorghum grain,N/A,2022,10.1186/s13007-022-00837-7,Method,Proof-of-concept,No,No,No,No,MicroCT,N/A,N/A,N/A,this study,Semantic,Automated,Tissue (plant),
Standardized assessment of bone micromorphometry around teeth following orthodontic tooth movement : A µCT split-mouth study in mice,N/A,2022,10.1007/s00056-021-00336-9,Method,Quantitative morphometry,No,N/A,No,N/A,MicroCT,N/A,N/A,N/A,this study,Semantic,Semi-automated,Tissue,
Imaging local soil kinematics during the first days of maize root growth in sand,N/A,2021,10.1038/s41598-021-01056-1,Biological,Quantitative morphometry,No,N/A,No,N/A,MicroCT,N/A,N/A,N/A,this study,Semantic,Semi-automated,Organ (plant),
Three-Dimensional Vessel Segmentation in Whole-Tissue and Whole-Block Imaging Using a Deep Neural Network: Proof-of-Concept Study,N/A,2021,10.1016/j.ajpath.2020.12.008,Software,Proof-of-concept,No,No,No,No,MicroCT,N/A,N/A,N/A,this study,Semantic,Automated,Tissue,
Automated segmentation and description of the internal morphology of human permanent teeth by means of micro-CT,N/A,2021,10.1186/s12903-021-01551-x,Software,Proof-of-concept,Open Science Foundation,N/A,No,Zenodo,MicroCT,Any - accessed with API,N/A,N/A,this study,Semantic,Automated,Tissue (teeth),
Automated Histological Segmentation on Micro Computed Tomography Images of Atherosclerotic Arteries,N/A,2021,10.1016/j.ejvs.2021.01.012,Method,Proof-of-concept,No,No,No,No,MicroCT,N/A,N/A,N/A,this study,Semantic,Automated,Tissue,
Immunofluorescence-guided segmentation of three-dimensional features in micro-computed tomography datasets of human lung tissue,N/A,2021,10.1098/rsos.211067,Method,Proof-of-concept,Institutional - working,N/A,Institutional - working,Supplementary Info,MicroCT,tiff,N/A,tiff,this study,Semantic,Semi-automated,Tissue,
Comparison of high-resolution magnetic resonance imaging and micro-computed tomography arthrography for in-vivo assessment of cartilage in non-human primate models,N/A,2021,10.21037/qims-20-116,Method,Quantitative morphometry,No,N/A,No,N/A,MicroCT,N/A,N/A,N/A,this study,Semantic,Semi-automated,Tissue,
Using µCT in live larvae of a large wood-boring beetle to study tracheal oxygen supply during development,N/A,2021,10.1016/j.jinsphys.2021.104199,Biological,Quantitative morphometry,No,N/A,No,N/A,MicroCT,N/A,N/A,N/A,this study,Semantic,Semi-automated,Tissue,
Learning and Segmenting Dense Voxel Embeddings for 3D Neuron Reconstruction,N/A,2021,10.1109/TMI.2021.3097826,Software,Proof-of-concept,Requires separate search (SNEMI3D),No,No,No,ssSEM,tiff,N/A,N/A,public challenge,Instance,Automated,Tissue,
X-ray microtomography-based atlas of mouse cranial development,N/A,2021,10.1093/gigascience/giab012,Dataset,Quantitative morphometry,GigaScience,N/A,GigaScience,N/A,MicroCT,tiff,N/A,tiff,this study,Semantic,Manual,Tissue,
Quantitative analysis of bone microvasculature in a mouse model using the monogenic signal phase asymmetry and marker-controlled watershed,N/A,2021,10.1088/1361-6560/ac047d,Software,Proof-of-concept,No,N/A,No,N/A,MicroCT,N/A,N/A,N/A,this study,Semantic,Semi-automated,Tissue,
Novel strategies for the characterization of cancellous bone morphology: Virtual isolation and analysis,N/A,2021,10.1002/ajpa.24272,Software,Proof-of-concept,No,N/A,No,Github,MicroCT,N/A,N/A,N/A,this study,Semantic,Semi-automated,Tissue,
An improved method for the segmentation of roots from X-ray computed tomography 3D images: Rootine v.2,N/A,2021,10.1186/s13007-021-00735-4,Software,Quantitative morphometry,Some (Institutional - working),N/A,No,Institutional - working,MicroCT,raw,N/A,N/A,this study,Semantic,Semi-automated,Organ (plant),
Microstructure Determines Apparent-Level Mechanics Despite Tissue-Level Anisotropy and Heterogeneity of Individual Plates and Rods in Normal Human Trabecular Bone,N/A,2021,10.1002/jbmr.4338,Biological,Quantitative morphometry,No,N/A,No,N/A,MicroCT,N/A,N/A,N/A,this study,Semantic,Semi-automated,Tissue (bone),
Automated analysis of rabbit knee calcified cartilage morphology using micro-computed tomography and deep learning,N/A,2021,10.1111/joa.13435,Software,Proof-of-concept,No,No,No,Github,MicroCT,N/A,N/A,N/A,this study,Semantic,Automated,Tissue (bone),
Clinical insights into the three-dimensional anatomy of cheek teeth in alpacas based on micro-computed tomography. Part 1: mandibular cheek teeth,N/A,2021,10.1186/s12917-021-03038-x,Biological,Quantitative morphometry,No,N/A,No,N/A,MicroCT,N/A,N/A,N/A,this study,Semantic,Unclear,Tissue (dental),
Digitally deconstructing leaves in 3D using X-ray microcomputed tomography and machine learning,N/A,2020,10.1002/aps3.11380,Software,Proof-of-concept,Zenodo,Zenodo,Zenodo,Github,MicroCT,zipped,tiff,zipped,this study,Semantic,Automated,Organ (plant),
Synchrotron-based phase-contrast micro-CT as a tool for understanding pulmonary vascular pathobiology and the 3-D microanatomy of alveolar capillary dysplasia,N/A,2020,10.1152/ajplung.00103.2019,Method,Proof-of-concept,No,N/A,No,N/A,MicroCT,N/A,N/A,N/A,this study,Instance,Manual,Tissue,
Introducing Biomedisa as an open-source online platform for biomedical image segmentation,N/A,2020,10.1038/s41467-020-19303-w,Software,Proof-of-concept,Own website - defunct,N/A,N/A,Github,MicroCT,N/A,N/A,N/A,unclear,Semantic,Semi-automated,All,
Phase-contrast 3D tomography of HeLa cells grown in PLLA polymer electrospun scaffolds using synchrotron X-rays,N/A,2020,10.1107/S1600577519015583,Method,Proof-of-concept,No,N/A,No,N/A,MicroCT,N/A,N/A,N/A,this study,Instance,Semi-automated,Cellular,
Three-dimensional imaging of mitochondrial cristae complexity using cryo-soft X-ray tomography,N/A,2020,10.1038/s41598-020-78150-3,Biological,Quantitative morphometry,No,N/A,No,N/A,MicroCT,N/A,N/A,N/A,this study,Instance,Semi-automated,Subcellular,
Fin ray patterns at the fin-to-limb transition,N/A,2020,10.1073/pnas.1915983117,Biological,Quantitative morphometry,MorphoSource,N/A,No,N/A,MicroCT,Unclear,N/A,N/A,this study,Instance,Semi-automated,Organ (fossil),
